normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	horsepower	peak-rpm	city-mpg	highway-mpg	price	symboling
83.00	subaru	gas	std	two	hatchback	fwd	front	93.70	156.90	63.40	53.70	2050.00	ohcf	four	97.00	2bbl	3.62	2.36	9.00	69.00	4900.00	31.00	36.00	5118.00	_2
83.00	subaru	gas	std	two	hatchback	fwd	front	93.70	157.90	63.60	53.70	2120.00	ohcf	four	108.00	2bbl	3.62	2.64	8.70	73.00	4400.00	26.00	31.00	7053.00	_2
83.00	subaru	gas	std	two	hatchback	4wd	front	93.30	157.30	63.80	55.70	2240.00	ohcf	four	108.00	2bbl	3.62	2.64	8.70	73.00	4400.00	26.00	31.00	7603.00	_2
102.00	subaru	gas	std	four	sedan	fwd	front	97.20	172.00	65.40	52.50	2145.00	ohcf	four	108.00	2bbl	3.62	2.64	9.50	82.00	4800.00	32.00	37.00	7126.00	_0
102.00	subaru	gas	std	four	sedan	fwd	front	97.20	172.00	65.40	52.50	2190.00	ohcf	four	108.00	2bbl	3.62	2.64	9.50	82.00	4400.00	28.00	33.00	7775.00	_0
102.00	subaru	gas	std	four	sedan	fwd	front	97.20	172.00	65.40	52.50	2340.00	ohcf	four	108.00	mpfi	3.62	2.64	9.00	94.00	5200.00	26.00	32.00	9960.00	_0
102.00	subaru	gas	std	four	sedan	4wd	front	97.00	172.00	65.40	54.30	2385.00	ohcf	four	108.00	2bbl	3.62	2.64	9.00	82.00	4800.00	24.00	25.00	9233.00	_0
102.00	subaru	gas	turbo	four	sedan	4wd	front	97.00	172.00	65.40	54.30	2510.00	ohcf	four	108.00	mpfi	3.62	2.64	7.70	111.00	4800.00	24.00	29.00	11259.00	_0
89.00	subaru	gas	std	four	wagon	fwd	front	97.00	173.50	65.40	53.00	2290.00	ohcf	four	108.00	2bbl	3.62	2.64	9.00	82.00	4800.00	28.00	32.00	7463.00	_0
89.00	subaru	gas	std	four	wagon	fwd	front	97.00	173.50	65.40	53.00	2455.00	ohcf	four	108.00	mpfi	3.62	2.64	9.00	94.00	5200.00	25.00	31.00	10198.00	_0
85.00	subaru	gas	std	four	wagon	4wd	front	96.90	173.60	65.40	54.90	2420.00	ohcf	four	108.00	2bbl	3.62	2.64	9.00	82.00	4800.00	23.00	29.00	8013.00	_0
85.00	subaru	gas	turbo	four	wagon	4wd	front	96.90	173.60	65.40	54.90	2650.00	ohcf	four	108.00	mpfi	3.62	2.64	7.70	111.00	4800.00	23.00	23.00	11694.00	_0
87.00	toyota	gas	std	two	hatchback	fwd	front	95.70	158.70	63.60	54.50	1985.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	35.00	39.00	5348.00	_1
87.00	toyota	gas	std	two	hatchback	fwd	front	95.70	158.70	63.60	54.50	2040.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	31.00	38.00	6338.00	_1
74.00	toyota	gas	std	four	hatchback	fwd	front	95.70	158.70	63.60	54.50	2015.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	31.00	38.00	6488.00	_1
77.00	toyota	gas	std	four	wagon	fwd	front	95.70	169.70	63.60	59.10	2280.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	31.00	37.00	6918.00	_0
81.00	toyota	gas	std	four	wagon	4wd	front	95.70	169.70	63.60	59.10	2290.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	27.00	32.00	7898.00	_0
91.00	toyota	gas	std	four	wagon	4wd	front	95.70	169.70	63.60	59.10	3110.00	ohc	four	92.00	2bbl	3.05	3.03	9.00	62.00	4800.00	27.00	32.00	8778.00	_0
91.00	toyota	gas	std	four	sedan	fwd	front	95.70	166.30	64.40	53.00	2081.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	30.00	37.00	6938.00	_0
91.00	toyota	gas	std	four	hatchback	fwd	front	95.70	166.30	64.40	52.80	2109.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	30.00	37.00	7198.00	_0
91.00	toyota	diesel	std	four	sedan	fwd	front	95.70	166.30	64.40	53.00	2275.00	ohc	four	110.00	idi	3.27	3.35	22.50	56.00	4500.00	34.00	36.00	7898.00	_0
91.00	toyota	diesel	std	four	hatchback	fwd	front	95.70	166.30	64.40	52.80	2275.00	ohc	four	110.00	idi	3.27	3.35	22.50	56.00	4500.00	38.00	47.00	7788.00	_0
91.00	toyota	gas	std	four	sedan	fwd	front	95.70	166.30	64.40	53.00	2094.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	38.00	47.00	7738.00	_0
91.00	toyota	gas	std	four	hatchback	fwd	front	95.70	166.30	64.40	52.80	2122.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	28.00	34.00	8358.00	_0
91.00	toyota	gas	std	four	sedan	fwd	front	95.70	166.30	64.40	52.80	2140.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	28.00	34.00	9258.00	_0
168.00	toyota	gas	std	two	sedan	rwd	front	94.50	168.70	64.00	52.60	2169.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	29.00	34.00	8058.00	_1
168.00	toyota	gas	std	two	hatchback	rwd	front	94.50	168.70	64.00	52.60	2204.00	ohc	four	98.00	2bbl	3.19	3.03	9.00	70.00	4800.00	29.00	34.00	8238.00	_1
168.00	toyota	gas	std	two	sedan	rwd	front	94.50	168.70	64.00	52.60	2265.00	dohc	four	98.00	mpfi	3.24	3.08	9.40	112.00	6600.00	26.00	29.00	9298.00	_1
168.00	toyota	gas	std	two	hatchback	rwd	front	94.50	168.70	64.00	52.60	2300.00	dohc	four	98.00	mpfi	3.24	3.08	9.40	112.00	6600.00	26.00	29.00	9538.00	_1
134.00	toyota	gas	std	two	hardtop	rwd	front	98.40	176.20	65.60	52.00	2540.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	8449.00	_2
134.00	toyota	gas	std	two	hardtop	rwd	front	98.40	176.20	65.60	52.00	2536.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	9639.00	_2
134.00	toyota	gas	std	two	hatchback	rwd	front	98.40	176.20	65.60	52.00	2551.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	9989.00	_2
134.00	toyota	gas	std	two	hardtop	rwd	front	98.40	176.20	65.60	52.00	2679.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	11199.00	_2
134.00	toyota	gas	std	two	hatchback	rwd	front	98.40	176.20	65.60	52.00	2714.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	11549.00	_2
134.00	toyota	gas	std	two	convertible	rwd	front	98.40	176.20	65.60	53.00	2975.00	ohc	four	146.00	mpfi	3.62	3.50	9.30	116.00	4800.00	24.00	30.00	17669.00	_2
65.00	toyota	gas	std	four	sedan	fwd	front	102.40	175.60	66.50	54.90	2326.00	ohc	four	122.00	mpfi	3.31	3.54	8.70	92.00	4200.00	29.00	34.00	8948.00	_-1
65.00	toyota	diesel	turbo	four	sedan	fwd	front	102.40	175.60	66.50	54.90	2480.00	ohc	four	110.00	idi	3.27	3.35	22.50	73.00	4500.00	30.00	33.00	10698.00	_-1
65.00	toyota	gas	std	four	hatchback	fwd	front	102.40	175.60	66.50	53.90	2414.00	ohc	four	122.00	mpfi	3.31	3.54	8.70	92.00	4200.00	27.00	32.00	9988.00	_-1
65.00	toyota	gas	std	four	sedan	fwd	front	102.40	175.60	66.50	54.90	2414.00	ohc	four	122.00	mpfi	3.31	3.54	8.70	92.00	4200.00	27.00	32.00	10898.00	_-1
65.00	toyota	gas	std	four	hatchback	fwd	front	102.40	175.60	66.50	53.90	2458.00	ohc	four	122.00	mpfi	3.31	3.54	8.70	92.00	4200.00	27.00	32.00	11248.00	_-1
197.00	toyota	gas	std	two	hatchback	rwd	front	102.90	183.50	67.70	52.00	2976.00	dohc	six	171.00	mpfi	3.27	3.35	9.30	161.00	5200.00	20.00	24.00	16558.00	_3
197.00	toyota	gas	std	two	hatchback	rwd	front	102.90	183.50	67.70	52.00	3016.00	dohc	six	171.00	mpfi	3.27	3.35	9.30	161.00	5200.00	19.00	24.00	15998.00	_3
90.00	toyota	gas	std	four	sedan	rwd	front	104.50	187.80	66.50	54.10	3131.00	dohc	six	171.00	mpfi	3.27	3.35	9.20	156.00	5200.00	20.00	24.00	15690.00	_-1
122.00	toyota	gas	std	four	wagon	rwd	front	104.50	187.80	66.50	54.10	3151.00	dohc	six	161.00	mpfi	3.27	3.35	9.20	156.00	5200.00	19.00	24.00	15750.00	_-1
122.00	volkswagen	diesel	std	two	sedan	fwd	front	97.30	171.70	65.50	55.70	2261.00	ohc	four	97.00	idi	3.01	3.40	23.00	52.00	4800.00	37.00	46.00	7775.00	_2
122.00	volkswagen	gas	std	two	sedan	fwd	front	97.30	171.70	65.50	55.70	2209.00	ohc	four	109.00	mpfi	3.19	3.40	9.00	85.00	5250.00	27.00	34.00	7975.00	_2
94.00	volkswagen	diesel	std	four	sedan	fwd	front	97.30	171.70	65.50	55.70	2264.00	ohc	four	97.00	idi	3.01	3.40	23.00	52.00	4800.00	37.00	46.00	7995.00	_2
94.00	volkswagen	gas	std	four	sedan	fwd	front	97.30	171.70	65.50	55.70	2212.00	ohc	four	109.00	mpfi	3.19	3.40	9.00	85.00	5250.00	27.00	34.00	8195.00	_2
94.00	volkswagen	gas	std	four	sedan	fwd	front	97.30	171.70	65.50	55.70	2275.00	ohc	four	109.00	mpfi	3.19	3.40	9.00	85.00	5250.00	27.00	34.00	8495.00	_2
94.00	volkswagen	diesel	turbo	four	sedan	fwd	front	97.30	171.70	65.50	55.70	2319.00	ohc	four	97.00	idi	3.01	3.40	23.00	68.00	4500.00	37.00	42.00	9495.00	_2
94.00	volkswagen	gas	std	four	sedan	fwd	front	97.30	171.70	65.50	55.70	2300.00	ohc	four	109.00	mpfi	3.19	3.40	10.00	100.00	5500.00	26.00	32.00	9995.00	_2
122.00	volkswagen	gas	std	two	convertible	fwd	front	94.50	159.30	64.20	55.60	2254.00	ohc	four	109.00	mpfi	3.19	3.40	8.50	90.00	5500.00	24.00	29.00	11595.00	_3
256.00	volkswagen	gas	std	two	hatchback	fwd	front	94.50	165.70	64.00	51.40	2221.00	ohc	four	109.00	mpfi	3.19	3.40	8.50	90.00	5500.00	24.00	29.00	9980.00	_3
122.00	volkswagen	gas	std	four	sedan	fwd	front	100.40	180.20	66.90	55.10	2661.00	ohc	five	136.00	mpfi	3.19	3.40	8.50	110.00	5500.00	19.00	24.00	13295.00	_0
122.00	volkswagen	diesel	turbo	four	sedan	fwd	front	100.40	180.20	66.90	55.10	2579.00	ohc	four	97.00	idi	3.01	3.40	23.00	68.00	4500.00	33.00	38.00	13845.00	_0
122.00	volkswagen	gas	std	four	wagon	fwd	front	100.40	183.10	66.90	55.10	2563.00	ohc	four	109.00	mpfi	3.19	3.40	9.00	88.00	5500.00	25.00	31.00	12290.00	_0
103.00	volvo	gas	std	four	sedan	rwd	front	104.30	188.80	67.20	56.20	2912.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	23.00	28.00	12940.00	_-2
74.00	volvo	gas	std	four	wagon	rwd	front	104.30	188.80	67.20	57.50	3034.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	23.00	28.00	13415.00	_-1
103.00	volvo	gas	std	four	sedan	rwd	front	104.30	188.80	67.20	56.20	2935.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	24.00	28.00	15985.00	_-2
74.00	volvo	gas	std	four	wagon	rwd	front	104.30	188.80	67.20	57.50	3042.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	24.00	28.00	16515.00	_-1
103.00	volvo	gas	turbo	four	sedan	rwd	front	104.30	188.80	67.20	56.20	3045.00	ohc	four	130.00	mpfi	3.62	3.15	7.50	162.00	5100.00	17.00	22.00	18420.00	_-2
74.00	volvo	gas	turbo	four	wagon	rwd	front	104.30	188.80	67.20	57.50	3157.00	ohc	four	130.00	mpfi	3.62	3.15	7.50	162.00	5100.00	17.00	22.00	18950.00	_-1
95.00	volvo	gas	std	four	sedan	rwd	front	109.10	188.80	68.90	55.50	2952.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	23.00	28.00	16845.00	_-1
95.00	volvo	gas	turbo	four	sedan	rwd	front	109.10	188.80	68.80	55.50	3049.00	ohc	four	141.00	mpfi	3.78	3.15	8.70	160.00	5300.00	19.00	25.00	19045.00	_-1
95.00	volvo	gas	std	four	sedan	rwd	front	109.10	188.80	68.90	55.50	3012.00	ohcv	six	173.00	mpfi	3.58	2.87	8.80	134.00	5500.00	18.00	23.00	21485.00	_-1
95.00	volvo	diesel	turbo	four	sedan	rwd	front	109.10	188.80	68.90	55.50	3217.00	ohc	six	145.00	idi	3.01	3.40	23.00	106.00	4800.00	26.00	27.00	22470.00	_-1
95.00	volvo	gas	turbo	four	sedan	rwd	front	109.10	188.80	68.90	55.50	3062.00	ohc	four	141.00	mpfi	3.78	3.15	9.50	114.00	5400.00	19.00	25.00	22625.00	_-1
